"","statn","inc_cnt","out_cnt","tot_cnt","inc_perc","out_perc","lng","lat"
"59",62,5724,6217,11941,47.94,52.06,-71.109927,42.340299
"60",63,7427,7168,14595,50.89,49.11,-71.057054,42.344023
"61",64,20530,19078,39608,51.83,48.17,-71.0496,42.3511
"62",65,6705,6421,13126,51.08,48.92,-71.0441,42.3475
"63",66,5684,6188,11872,47.88,52.12,-71.13401,42.348607
"64",67,34580,33685,68265,50.66,49.34,-71.093198,42.3581
"65",68,18361,19137,37498,48.97,51.03,-71.1031,42.36507
"66",69,9417,8875,18292,51.48,48.52,-71.123338,42.341598
"67",70,11444,10237,21681,52.78,47.22,-71.121851,42.372244
"68",71,4073,4155,8228,49.5,50.5,-71.107593,42.383405
"69",72,13796,13082,26878,51.33,48.67,-71.084105,42.362613
"70",73,9220,9432,18652,49.43,50.57,-71.120886,42.373231
"71",74,26741,24055,50796,52.64,47.36,-71.118579,42.373268
"72",75,21422,20853,42275,50.67,49.33,-71.10042,42.363562
"73",76,14398,15222,29620,48.61,51.39,-71.105495,42.366426
"74",77,1894,2452,4346,43.58,56.42,-71.096413,42.386428
"75",78,7174,6232,13406,53.51,46.49,-71.095319,42.379637
"76",79,7392,7607,14999,49.28,50.72,-71.106541,42.378551
"77",80,20040,19182,39222,51.09,48.91,-71.090188,42.362429
"78",81,12556,12514,25070,50.08,49.92,-71.062679,42.352409
"79",82,425,380,805,52.8,47.2,-71.120526,42.333689
"80",83,1646,1491,3137,52.47,47.53,-71.065928,42.325941
"81",84,11271,10537,21808,51.68,48.32,-71.076472,42.366981
"82",85,364,345,709,51.34,48.66,-71.057007,42.330825
"83",86,5167,4782,9949,51.93,48.07,-71.116205,42.332799
"84",87,6072,7179,13251,45.82,54.18,-71.114214,42.366621
"85",88,10693,11510,22203,48.16,51.84,-71.101427,42.374035
"86",89,5126,5689,10815,47.4,52.6,-71.119945,42.379011
"87",90,8815,8925,17740,49.69,50.31,-71.07711,42.3707
"88",91,13275,13285,26560,49.98,50.02,-71.09169,42.366277
"89",92,914,964,1878,48.67,51.33,-71.035705,42.311819
"90",93,1467,1250,2717,53.99,46.01,-71.051122,42.320494
"91",94,6724,6904,13628,49.34,50.66,-71.064608,42.375603
"92",95,7369,7458,14827,49.7,50.3,-71.094445,42.372969
"93",96,7807,7904,15711,49.69,50.31,-71.111075,42.373379
"94",97,257,268,525,48.95,51.05,-71.117152,42.369182
"95",98,11540,11903,23443,49.23,50.77,-71.060292,42.371848
